Trial Date & Time,Subject,Experiment Condition,Task,Step,Action Type,Total Time (s),#Visits,Note,Condition Code,Action Type Code, Task Name
6/8/2014 14:22,2,Epson Moverio,4,4,manipulate,,,SYSTEM CRASH,2,2,headlight
6/8/2014 14:33,2,Epson Moverio,4,4,manipulate,,,SYSTEM CRASH,2,2,headlight
6/8/2014 15:23,3,Epson Moverio,2,9,manipulate,43.371,1,"Looks at all instructions in one go, ",2,2,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,2,5,locate,41.215,1,"Looks at all instructions in one go, ",2,1,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,1,7,compare,40.55,1,"Looks at all instructions in one go, ",2,3,engine oil
6/8/2014 15:23,3,Epson Moverio,1,4,manipulate,13.93,1,"Looks at all instructions in one go, ",2,2,engine oil
6/8/2014 15:23,3,Epson Moverio,2,7,compare,11.298,1,"Looks at all instructions in one go, ",2,3,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,2,8,manipulate,6.403,1,"Looks at all instructions in one go, ",2,2,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,1,5,manipulate,5.829,1,"Looks at all instructions in one go, ",2,2,engine oil
6/8/2014 15:23,3,Epson Moverio,1,9,title,5.599,1,"Looks at all instructions in one go, ",2,0,engine oil
6/8/2014 15:23,3,Epson Moverio,2,3,manipulate,4.222,1,"Looks at all instructions in one go, ",2,2,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,2,2,locate,4.048,1,"Looks at all instructions in one go, ",2,1,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,2,1,title,3.848,1,"Looks at all instructions in one go, ",2,0,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,1,6,manipulate,3.332,1,"Looks at all instructions in one go, ",2,2,engine oil
6/8/2014 15:23,3,Epson Moverio,1,2,locate,3.275,1,"Looks at all instructions in one go, ",2,1,engine oil
6/8/2014 15:23,3,Epson Moverio,1,8,manipulate,3.177,1,"Looks at all instructions in one go, ",2,2,engine oil
6/8/2014 15:23,3,Epson Moverio,2,6,manipulate,2.951,1,"Looks at all instructions in one go, ",2,2,fuse (exterior)
6/8/2014 15:23,3,Epson Moverio,1,1,title,2.551,1,"Looks at all instructions in one go, ",2,0,engine oil
