Trial Date & Time;Subject;Experiment Condition;Task;Step;Action Type;Total Time (s);#Visits;Note;Condition Code;Action Type Code; Task Name
8/08 11:05 am;10;Epson Moverio;3;1;title;2,21;1;;2;0;air filter
8/08 11:05 am;10;Epson Moverio;3;2;locate;4,3;1;;2;1;air filter
8/08 11:05 am;10;Epson Moverio;3;3;manipulate;6,765;1;;2;2;air filter
8/08 11:05 am;10;Epson Moverio;3;4;manipulate;41,072;1;;2;2;air filter
8/08 11:05 am;10;Epson Moverio;3;5;compare;3,783;1;;2;3;air filter
8/08 11:05 am;10;Epson Moverio;3;6;manipulate;19,7;1;;2;2;air filter
8/08 11:05 am;10;Epson Moverio;3;7;manipulate;1,996;1;;2;2;air filter
8/08 11:05 am;10;Epson Moverio;3;8;title;9,503;1;;2;0;air filter
8/08 11:05 am;10;Epson Moverio;4;1;title;2,164;1;;2;0;headlight
8/08 11:05 am;10;Epson Moverio;4;2;locate;9,078;1;;2;1;headlight
8/08 11:05 am;10;Epson Moverio;4;3;manipulate;15,203;1;;2;2;headlight
8/08 11:05 am;10;Epson Moverio;4;4;manipulate;34,445;1;;2;2;headlight
8/08 11:05 am;10;Epson Moverio;4;5;manipulate;56,999;1;Glasses keep falling so hold with one hand;2;2;headlight
8/08 11:05 am;10;Epson Moverio;4;6;compare;13,793;1;;2;3;headlight
8/08 11:05 am;10;Epson Moverio;4;7;manipulate;31,11;1;Difficulty putting it back;2;2;headlight
8/08 11:05 am;10;Epson Moverio;4;8;manipulate;41,164;1;;2;2;headlight
8/08 11:05 am;10;Epson Moverio;4;9;title;;;;2;0;headlight
8/08 10:53 am;10;Google Glass;1;1;title;2,319;1;;1;0;engine oil
8/08 10:53 am;10;Google Glass;1;2;locate;4,17;1;Keeps putting hand for knowing info;1;1;engine oil
8/08 10:53 am;10;Google Glass;1;3;manipulate;10,66;1;Doesn't take out completely;1;2;engine oil
8/08 10:53 am;10;Google Glass;1;4;manipulate;18,232;1;;1;2;engine oil
8/08 10:53 am;10;Google Glass;1;5;manipulate;6,093;1;;1;2;engine oil
8/08 10:53 am;10;Google Glass;1;6;manipulate;6,52;1;;1;2;engine oil
8/08 10:53 am;10;Google Glass;1;7;compare;15,49;1;;1;3;engine oil
8/08 10:53 am;10;Google Glass;1;8;manipulate;10,072;1;;1;2;engine oil
8/08 10:53 am;10;Google Glass;1;9;title;4,029;1;;1;0;engine oil
8/08 10:53 am;10;Google Glass;2;1;title;3,52;1;;1;0;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;2;locate;4,49;1;One hand still on glass;1;1;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;3;manipulate;22,78;1;;1;2;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;4;manipulate;7,735;1;;1;2;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;5;locate;19,855;1;Has a difficult time to read on Glass;1;1;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;6;manipulate;21,97;1;Pulls wrong one;1;2;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;7;compare;19,316;1;;1;3;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;8;manipulate;51,645;1;Then picks the wrong one;1;2;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;9;manipulate;14,943;1;;1;2;fuse (exterior)
8/08 10:53 am;10;Google Glass;2;10;title;;;;1;0;fuse (exterior)
8/08 11:27 am;10;LG Tablet;7;1;title;1,893;1;;3;0;battery
8/08 11:27 am;10;LG Tablet;7;2;locate;14,113;2;;3;1;battery
